,original_title,year_x,composer,time_stamp,type,volume,length,imdb_title_id,title,year_y,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
54,Colossal,2016,Bear McCreary,1:38:11,3,1,1:28:00,tt4680182,Colossal,2016,4/21/17,"Comedy, Drama, Fantasy",109,"Canada, USA, Spain, South Korea","English, Korean",Nacho Vigalondo,Nacho Vigalondo,Toy Fight Productions,"Anne Hathaway, Jason Sudeikis, Austin Stowell, Tim Blake Nelson, Dan Stevens, Hannah Cheramy, Nathan Ellison, Sarah Surh, Haeun Hannah Cho, Carlos Joe Costa, Melissa M. Montgomery, Christine Lee, Rukiya Bernard, James Yi, Alyssa Dawson","Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",6.2,57332,"$15,000,000 ","$3,029,287 ","$4,531,320 ",70,321,315
68,Conan the Barbarian,1982,Basil Poledouris,1:51:13,1,4,,tt0082198,Conan il barbaro,1982,9/10/82,"Action, Adventure, Fantasy",129,"USA, Spain, Mexico",English,John Milius,"Robert E. Howard, John Milius",Universal Pictures,"Arnold Schwarzenegger, James Earl Jones, Max von Sydow, Sandahl Bergman, Ben Davidson, Cassandra Gava, Gerry Lopez, Mako, Valérie Quennessen, William Smith, Luis Barboo, Franco Columbu, Leslie Foldvary, Gary Herman, Erik Holmey","A young boy, Conan, becomes a slave after his parents are killed and tribe destroyed by a savage warlord and sorcerer, Thulsa Doom. When he grows up he becomes a fearless, invincible fighter. Set free, he plots revenge against Thulsa Doom.",6.9,135134,"$20,000,000 ","$39,565,475 ","$68,851,475 ",43,404,192
85,Crimson Peak,2015,Fernando Velazquez,0:40:42,2,"1, 3b",:58,tt2554274,Crimson Peak,2015,10/22/15,"Drama, Fantasy, Horror",119,"Canada, USA, Mexico",English,Guillermo del Toro,"Guillermo del Toro, Matthew Robbins",Double Dare You (DDY),"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam, Jim Beaver, Burn Gorman, Leslie Hope, Doug Jones, Jonathan Hyde, Bruce Gray, Emily Coutts, Alec Stockwell, Brigitte Robinson, Gillian Ferrier, Tamara Hope","In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers.",6.5,126982,"$55,000,000 ","$31,090,320 ","$74,679,822 ",66,447,463
96,Crimson Tide,1995,Hans Zimmer,1:30:00,1,4,,tt0112740,Allarme rosso,1995,9/14/95,"Action, Drama, Thriller",116,USA,English,Tony Scott,"Michael Schiffer, Richard P. Henrick",Hollywood Pictures,"Denzel Washington, Gene Hackman, Matt Craven, George Dzundza, Viggo Mortensen, James Gandolfini, Rocky Carroll, Jaime Gomez, Michael Milhoan, Scott Burkholder, Danny Nucci, Lillo Brancato, Eric Bruskotter, Ricky Schroder, Steve Zahn","On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so.",7.3,99265,"$53,000,000 ","$91,387,195 ","$157,387,195 ",66,217,84
72,Day of Wrath,1943,Poul Schierbeck,0:00:00,1,6,,tt0353357,Il giorno dell'ira,2006,6/8/06,"Action, Adventure, Crime",109,"UK, Hungary",English,Adrian Rudomin,Adrian Rudomin,Azucar Entertainment,"Christopher Lambert, Blanca Marsillach, Brian Blessed, Szonja Oroszlán, James Faulkner, Ben O'Brien, Phyllida Law, Lukács Bicskey, Géza Schramek, John Rado, Benjamin Thiel, Joshua Brownwood, Rebeka Kárpáti, Fruzsina Fridel, Viorel Paunescu","Set in the 16th century, a sheriff working on a series of murders has to choose between his conscience and protecting his family when he's tied to the crimes.",5.5,1738,"$12,000,000 ",,,,25,8
25,Demolition Man,1993,Elliot Goldenthal,0:00:27,1,"2, 3b",1,tt0106697,Demolition Man,1993,1/21/94,"Action, Sci-Fi, Thriller",115,USA,English,Marco Brambilla,"Peter M. Lenkov, Robert Reneau",Warner Bros.,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne, Benjamin Bratt, Bob Gunton, Glenn Shadix, Denis Leary, Grand L. Bush, Pat Skipper, Steve Kahan, Paul Bollen, Mark Colson, Andre Gregory, John Enos III",A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,6.7,155477,"$57,000,000 ","$58,055,768 ","$58,055,768 ",34,278,114
0,Doctor Strange,2016,Michael Giacchino,1:35:36,2,6,,tt1211837,Doctor Strange,2016,10/26/16,"Action, Adventure, Fantasy",115,USA,English,Scott Derrickson,"Jon Spaihts, Scott Derrickson",Marvel Studios,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen, Tilda Swinton, Michael Stuhlbarg, Benjamin Bratt, Scott Adkins, Zara Phythian, Alaa Safi, Katrina Durden, Topo Wresniwiro, Umit Ulgen, Linda Louise Duan","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",7.5,578675,"$165,000,000 ","$232,641,920 ","$677,718,395 ",72,961,584
56,Eli,2019,Bear McCreary,1:19:52,1,4,,tt5294518,Eli,2019,10/18/19,"Drama, Horror, Mystery",98,USA,English,Ciarán Foy,"David Chirchirillo, Ian Goldberg",Intrepid Pictures,"Charlie Shotwell, Kelly Reilly, Max Martini, Lili Taylor, Sadie Sink, Deneen Tyler, Katia Gomez, Austin Foxx, Kailia Posey, Parker Lovein, Lou Beatty Jr., Jared Bankens, Nathaniel Woolsey, Mitchell de Rubira, Kaleb Naquin",A boy receiving treatment for his auto-immune disorder discovers that the house he's living in isn't as safe as he thought.,5.7,26539,,,,,549,47
9,End of Days,1999,John Debney,0:00:00,1,3b,,tt0146675,Giorni contati,1999,11/26/99,"Action, Fantasy, Horror",122,USA,"English, Latin",Peter Hyams,Andrew W. Marlowe,Beacon Communications,"Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak, CCH Pounder, Derrick O'Connor, David Weisenberg, Rainer Judd, Miriam Margolyes, Udo Kier, Luciano Miele, Michael O'Hagan, Mark Margolis, Jack Shearer, Rod Steiger","At the end of the century, Satan visits New York in search of a bride. It's up to an ex-cop who now runs an elite security outfit to stop him.",5.8,104266,"$100,000,000 ","$66,889,043 ","$211,989,043 ",33,541,171
57,Fantasy Island,2020,Bear McCreary,1:18:13,3,4,,tt0983946,Fantasy Island,2020,2/13/20,"Action, Adventure, Fantasy",109,USA,English,Jeff Wadlow,"Jillian Jacobs, Christopher Roach",Columbia Pictures,"Michael Peña, Maggie Q, Lucy Hale, Austin Stowell, Jimmy O. Yang, Portia Doubleday, Ryan Hansen, Michael Rooker, Parisa Fitz-Henley, Mike Vogel, Kim Coates, Robbie Jones, Jeriya Benn, Charlotte McKinney, Josh McConville","When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",4.9,26823,"$7,000,000 ","$26,441,782 ","$47,315,959 ",22,635,154
